code,ai_research,sources
ID000,"Cold-weather warning, not a mechanical fault. Confirm ambient temperature and road conditions. Black ice can form on bridges and shaded roads even when the displayed temperature is slightly above freezing. Reduce speed, avoid abrupt braking/steering inputs, and treat this as a rider-safety warning rather than a workshop fault.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://www.bmw-motorrad.com.au/en/service/handbooks.html
IDABS,"ABS self-diagnosis normally clears after the motorcycle rolls forward and wheel-speed signals are received. If it does not clear after riding a short distance, check for recent wheel/tyre work, damaged or dirty wheel-speed sensor areas, low battery voltage, or wiring issues before dealer diagnostics.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://s81b12f53dcca2766.jimcontent.com/download/version/1629213179/module/12849760226/name/BMW%20Motorcycles%20Fault%20Codes%20DTC.pdf
IDDTC,"DTC self-diagnosis normally clears once the bike reaches the required minimum speed with the engine running. If it stays active, first check that nothing is stored under the seat where the angular-rate sensor can be affected, then inspect for wheel-speed sensor or battery-voltage related issues.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://s81b12f53dcca2766.jimcontent.com/download/version/1629213179/module/12849760226/name/BMW%20Motorcycles%20Fault%20Codes%20DTC.pdf
IDDTC2,"DTC intervention means the system reduced torque after detecting rear-wheel instability. This is often caused by slippery road surfaces, abrupt throttle, poor tyres, or uneven surfaces. If it happens repeatedly in normal riding, check tyres, tyre pressures, and wheel-speed sensor condition.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://www.bmw-motorrad.com.au/en/service/handbooks.html
ID030,"Start with the simple immobiliser causes: separate the active key from other transponder keys, try the spare key, check the remote/key battery if applicable, and cycle ignition. If the fault follows one key only, the key may need replacement or reprogramming by BMW Motorrad.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://www.bmw-motorrad.com.au/en/service/handbooks.html
ID040,"DTC failed requires care because traction control may be unavailable. Check for loose items under the seat, recent work around sensors or wheels, damaged wheel-speed sensor wiring, and battery-voltage faults. Ride conservatively and arrange BMW diagnostics to read stored faults.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://s81b12f53dcca2766.jimcontent.com/download/version/1629213179/module/12849760226/name/BMW%20Motorcycles%20Fault%20Codes%20DTC.pdf
ID041,"DTC restricted means dynamic control functions may work only partially. Check for low voltage, sensor obstruction or damage, tyre/wheel changes, and anything stored near the angular-rate sensor. Avoid aggressive throttle until the fault is diagnosed.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://s81b12f53dcca2766.jimcontent.com/download/version/1629213179/module/12849760226/name/BMW%20Motorcycles%20Fault%20Codes%20DTC.pdf
ID050,"ABS Pro uses additional sensor inputs compared with straight-line ABS. If ABS Pro fails but base ABS remains, check for low battery voltage, wheel-speed sensor issues, and lean-angle/angular-rate sensor related faults. Use extra caution in corner braking and have BMW Motorrad diagnose it.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://s81b12f53dcca2766.jimcontent.com/download/version/1629213179/module/12849760226/name/BMW%20Motorcycles%20Fault%20Codes%20DTC.pdf
ID051,"ABS failed means ABS is not available. Check the obvious items first: battery health/voltage, wheel-speed sensor area, sensor wiring after tyre or brake work, brake fluid condition, and fuses. Do not rely on ABS intervention until repaired.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://s81b12f53dcca2766.jimcontent.com/download/version/1629213179/module/12849760226/name/BMW%20Motorcycles%20Fault%20Codes%20DTC.pdf
ID052,"ABS restricted means ABS may still operate but not fully. Check wheel-speed sensor cleanliness/clearance, recent wheel changes, battery voltage, and brake system condition. A BMW scan tool or dealer diagnosis is the right next step if it does not clear.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://s81b12f53dcca2766.jimcontent.com/download/version/1629213179/module/12849760226/name/BMW%20Motorcycles%20Fault%20Codes%20DTC.pdf
ID060,"Remote key out of range is usually key battery, interference, or key position. Replace the key battery, move the key away from phones/metal objects, try the spare key, and keep riding calmly because the bike should not switch off while underway.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://www.bmw-motorrad.com.au/en/service/handbooks.html
ID061,"Keyless Ride failure can stop future restarts once the engine is switched off. Keep the engine running if safe, go directly to a BMW Motorrad workshop, and take the spare key. Do not assume a normal battery replacement will fix a control-unit communication fault.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://www.bmw-motorrad.com.au/en/service/handbooks.html
ID070,Replace the remote-key battery with the correct cell type and confirm the contacts are clean and seated correctly. Keep the spare key available until normal operation is confirmed.,https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://www.bmw-motorrad.com.au/en/service/handbooks.html
ID071,"Same as ID070: replace the radio-operated key battery and test both keys. If the message returns quickly with a fresh battery, inspect the key contacts or have the key checked.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://www.bmw-motorrad.com.au/en/service/handbooks.html
ID080,The DWA alarm internal battery is flat. The alarm may not work correctly if the vehicle battery is disconnected. This is usually a dealer/alarm-module service item rather than a rider reset.,https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://www.bmw-motorrad.com.au/en/service/handbooks.html
ID081,"The DWA alarm battery is weak. Plan workshop replacement/service before it becomes fully discharged, especially if the bike is stored or the main battery is disconnected.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://www.bmw-motorrad.com.au/en/service/handbooks.html
ID082,"DWA control-unit communication fault can cause activation/deactivation problems or false alarms. Check main battery voltage first, then have the alarm system scanned by BMW Motorrad.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://www.bmw-motorrad.com.au/en/service/handbooks.html
ID090,"Service due is not normally a breakdown fault. Check service interval by date and mileage, inspect maintenance history, and book scheduled service. Resetting the reminder should only be done after service is completed.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://www.bmw-motorrad.com.au/en/service/handbooks.html
ID091,"Service overdue means the date or mileage interval has passed. Do not just clear the reminder; verify required work has been done, especially safety checks, brake fluid intervals, tyres, and engine oil/service items.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://www.bmw-motorrad.com.au/en/service/handbooks.html
ID101,"Left auxiliary headlight fault. Inspect the light unit, connector, wiring, fuse/lighting control status, and any recent accessory work. LED units are generally replaced as assemblies.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://www.bmw-motorrad.com.au/en/service/handbooks.html
ID102,"Right auxiliary headlight fault. Inspect connector seating, wiring routing, fuse/lighting control status, and recent accessory wiring. LED units are generally replaced as assemblies.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://www.bmw-motorrad.com.au/en/service/handbooks.html
ID110,"Side light fault. Check for visible lamp failure, moisture in the housing, connector damage, and wiring. On LED lighting, replacement is usually by complete unit or workshop repair.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://www.bmw-motorrad.com.au/en/service/handbooks.html
ID112,"Low-beam headlight fault. Confirm the headlight is actually out, inspect connector/wiring, and avoid night riding if visibility is reduced. LED headlight faults usually require workshop diagnosis or unit replacement.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://www.bmw-motorrad.com.au/en/service/handbooks.html
ID113,"High-beam headlight fault. Check the switch function, headlight unit, connector, and wiring. If low beam works but high beam does not, the fault may be in the lamp unit or control circuit.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://www.bmw-motorrad.com.au/en/service/handbooks.html
ID114,"Daytime riding light fault. Inspect the front light unit and connector. Because DRL affects visibility to other road users, repair promptly.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://www.bmw-motorrad.com.au/en/service/handbooks.html
ID115,"Front left turn indicator fault. Confirm flashing rate and physical lamp operation, inspect the indicator connector, stalk damage, water ingress, and wiring.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://www.bmw-motorrad.com.au/en/service/handbooks.html
ID116,"Front right turn indicator fault. Confirm physical lamp operation, inspect connector/stalk damage, water ingress, and wiring.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://www.bmw-motorrad.com.au/en/service/handbooks.html
ID121,"Rear light fault. Inspect tail-light operation, rear harness, connector, plate/indicator area wiring, and any recent tail-tidy/accessory installation.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://www.bmw-motorrad.com.au/en/service/handbooks.html
ID122,"Brake light fault is safety critical. Confirm both brake lever and pedal trigger the brake light, inspect switches and rear light wiring, and repair before riding in traffic if the brake light is not working.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://www.bmw-motorrad.com.au/en/service/handbooks.html
ID123,"Number plate light fault. Inspect the plate light, connector and wiring, especially after tail-tidy or plate-holder work.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://www.bmw-motorrad.com.au/en/service/handbooks.html
ID124,"Rear left turn indicator fault. Inspect the indicator body, connector, rear harness, and damage from luggage or tail modifications.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://www.bmw-motorrad.com.au/en/service/handbooks.html
ID125,"Rear right turn indicator fault. Inspect the indicator body, connector, rear harness, and damage from luggage or tail modifications.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://www.bmw-motorrad.com.au/en/service/handbooks.html
ID130,"Active headlight fault. For Headlight Pro/cornering light systems, check for lighting-control communication faults, low voltage, or sensor-related errors. Dealer diagnostics are usually required.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://www.bmw-motorrad.com.au/en/service/handbooks.html
ID131,Active headlight fault. Treat as a cornering/active-lighting function fault; base lighting may still work but visibility can be reduced. Have BMW Motorrad scan the system.,https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://www.bmw-motorrad.com.au/en/service/handbooks.html
ID117,"Front light control failed. Because the front lighting can partially or completely fail, check actual light operation before riding, inspect connectors/fuses, and have the lighting-control system diagnosed promptly.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://www.bmw-motorrad.com.au/en/service/handbooks.html
ID126,"Rear light control failed. Check tail/brake/plate lighting before riding. If lighting is partially or completely failed, repair promptly because rear visibility and brake signalling are affected.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://www.bmw-motorrad.com.au/en/service/handbooks.html
ID140,"Engine control communication fault. Check main battery voltage and terminals, recent accessory wiring, and whether the bike runs normally. Continue only cautiously and have stored fault codes read by BMW Motorrad.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://s81b12f53dcca2766.jimcontent.com/download/version/1629213179/module/12849760226/name/BMW%20Motorcycles%20Fault%20Codes%20DTC.pdf
ID141,"Serious engine-control fault. Avoid high load and RPM, do not keep riding unless necessary, and arrange recovery if possible. This can indicate a condition that may cause consequential engine damage.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://s81b12f53dcca2766.jimcontent.com/download/version/1629213179/module/12849760226/name/BMW%20Motorcycles%20Fault%20Codes%20DTC.pdf
ID150,"Drive malfunction can relate to emissions or reduced power. Check for poor running, limp mode, loose connectors, recent fuel issues, battery voltage, and exhaust/emissions system faults. Dealer diagnostics are recommended even if the bike continues to ride.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://s81b12f53dcca2766.jimcontent.com/download/version/1629213179/module/12849760226/name/BMW%20Motorcycles%20Fault%20Codes%20DTC.pdf
ID152,"Serious drive malfunction may risk exhaust-system damage. Avoid continued riding, especially high load or high RPM, and arrange prompt diagnosis. Do not just clear the code without finding the cause.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://s81b12f53dcca2766.jimcontent.com/download/version/1629213179/module/12849760226/name/BMW%20Motorcycles%20Fault%20Codes%20DTC.pdf
ID160,"Drop sensor defective. Confirm nothing under the seat is interfering with sensors or wiring. If the fault remains, the sensor or its wiring/control-unit communication needs workshop diagnosis.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://www.bmw-motorrad.com.au/en/service/handbooks.html
ID161,"Fall sensor triggered. Stand the bike upright, inspect for impact damage, leaks, broken controls, and safe throttle/brake operation. Reset by cycling ignition or kill switch only after checking the motorcycle is safe.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://www.bmw-motorrad.com.au/en/service/handbooks.html
ID170,"Side-stand monitor fault can stop the motor when speed drops and may prevent continued riding. Inspect the side-stand switch area for damage, contamination, loose connector, or wiring damage. Repair before relying on the bike.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://www.bmw-motorrad.com.au/en/service/handbooks.html
ID180,"Emergency call system failed. The motorcycle may ride normally, but SOS/eCall function may not work. Check network region/support, battery voltage, and have the emergency-call module diagnosed.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://www.bmw-motorrad.com.au/en/service/handbooks.html
ID182,"Emergency call system restricted. SOS may still work only partially. Check regional support/network conditions, main battery condition, and arrange dealer diagnosis if the message persists.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://www.bmw-motorrad.com.au/en/service/handbooks.html
ID211,"Cruise control failed. Check that brake and clutch switches operate correctly, throttle returns freely, wheel-speed/ABS faults are not present, and no switchgear fault is obvious. Dealer scan if persistent.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://s81b12f53dcca2766.jimcontent.com/download/version/1629213179/module/12849760226/name/BMW%20Motorcycles%20Fault%20Codes%20DTC.pdf
ID250,"Vehicle battery overheated. Stop safely and allow the battery to cool. Check for charging-system faults, accessory loads, damaged battery, or poor terminals. Do not ignore heat or battery smell/swelling.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://s81b12f53dcca2766.jimcontent.com/download/version/1629213179/module/12849760226/name/BMW%20Motorcycles%20Fault%20Codes%20DTC.pdf
ID251,"Serious power-supply fault. Do not continue riding. Check for loose battery terminals only if safe, but this warning requires recovery or immediate professional diagnosis because electronics may shut down.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://s81b12f53dcca2766.jimcontent.com/download/version/1629213179/module/12849760226/name/BMW%20Motorcycles%20Fault%20Codes%20DTC.pdf
ID260,"Vehicle voltage critical. Switch off heated grips/accessories and check battery terminals, battery age/condition, alternator charging, and any added electrical accessories. Low voltage can trigger unrelated electronic warnings.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://s81b12f53dcca2766.jimcontent.com/download/version/1629213179/module/12849760226/name/BMW%20Motorcycles%20Fault%20Codes%20DTC.pdf
ID270,"Generator fault or battery not charging. Check alternator output, battery condition, fuses, belt/drive where applicable, and terminals. Expect the bike to eventually stop if the battery is not charging.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://s81b12f53dcca2766.jimcontent.com/download/version/1629213179/module/12849760226/name/BMW%20Motorcycles%20Fault%20Codes%20DTC.pdf
ID290,"Engine temperature high. Reduce load and RPM, keep airflow over the engine if possible, check oil level, avoid prolonged idling, and let the engine cool if temperature continues to rise. Repeated warnings need diagnosis.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://www.bmw-motorrad.com.au/en/service/handbooks.html
ID291,"Engine overheated. Stop safely, switch off the engine, and wait for cooling. Check oil level and signs of leaks or blocked airflow. Do not restart and continue if the warning returns quickly.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://www.bmw-motorrad.com.au/en/service/handbooks.html
ID301,"Tyre pressure close to limit. Check pressures cold with a reliable gauge and adjust to the tyre-pressure table/manual. BMW RDC is safety support, but the manual gauge is the verification point.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://www.bmw-motorrad.com.au/en/experience/detail/electronics/rdc.html
ID302,"Tyre pressure outside tolerance. Slow down and stop safely. Inspect tyre for puncture or damage, verify pressure manually, and do not continue if the tyre is unsafe. Repair/replace tyre before normal riding.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://www.bmw-motorrad.com.au/en/experience/detail/electronics/rdc.html
ID303,"Tyre pressure outside tolerance. Treat as a safety warning: adapt riding style, inspect the tyre, verify pressure manually, and do not continue if pressure loss or tyre damage is present.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://www.bmw-motorrad.com.au/en/experience/detail/electronics/rdc.html
ID304,"RDC failed. Manually check tyre pressures before riding. Common checks include sensor battery age, wheel sensor damage after tyre changes, control-unit communication faults, and low vehicle battery voltage.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://www.bmw-motorrad.com.au/en/experience/detail/electronics/rdc.html
ID310,Tyre pressure sensor battery weak. The sensor battery is usually part of the wheel sensor and may require sensor replacement. Plan replacement at tyre service if possible.,https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://www.bmw-motorrad.com.au/en/experience/detail/electronics/rdc.html
IDFUEL,"Reserve fuel warning. Refuel promptly. If the warning appears with adequate fuel, check fuel-level sender or wiring through dealer diagnostics.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://www.bmw-motorrad.com.au/en/service/handbooks.html
ID340,"Anti-theft protection warning means the alarm was triggered while unattended. Inspect for tampering, moved bike, impact, low battery, or false alarm history. If repeated without cause, have DWA diagnosed.",https://manuals.bmw-motorrad.com/manuals/BA-Extern/IN/BA-INTERNET-COM/PDF/R_0N01_RM_1123_01.pdf | https://www.bmw-motorrad.com.au/en/service/handbooks.html
